record_id,full_text_status,full_text_location,notes
R62EB9029AA88,not_retrievable,,No OA copy found via Unpaywall.
R0A6B926D1F15,not_retrievable,,No OA copy found via Unpaywall.
R2A4AE48CE394,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R2A4AE48CE394_chumo_2023.pdf,Retrieved OA via https://www.frontiersin.org/articles/10.3389/fpubh.2022.1035284/pdf
R68FA4CACB9C4,not_retrievable,,No OA copy found via Unpaywall.
RADF284366C3F,not_retrievable,,No OA copy found via Unpaywall.
RFA35C88B1CB7,not_retrievable,,No OA copy found via Unpaywall.
R8D6F4AD1EAA6,not_retrievable,,No OA copy found via Unpaywall.
R9A69967EBBAA,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R9A69967EBBAA_nyathikala_2023.pdf,Retrieved OA via OpenAlex extra thorough check
R4FE13503AC55,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2076-0760/12/11/614/pdf?version=1699002122: HTTP Error 403: Forbidden
RF5C6D981DB3B,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RF5C6D981DB3B_rodríguez-izquierdo_2023.pdf,Retrieved OA via OpenAlex extra thorough check
R79E038D49B1A,not_retrievable,,Failed to download PDF from http://www.thelancet.com/article/S2214109X23000062/pdf: HTTP Error 403: Forbidden
RACC1A9A71A20,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RACC1A9A71A20_sinharoy_2023.pdf,Retrieved OA via OpenAlex extra thorough check
R5548A1CFA16C,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R5548A1CFA16C_schwartz_2023.pdf,Retrieved OA via OpenAlex extra thorough check
RBCA94FE579EF,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RBCA94FE579EF_enqvist_2023.pdf,Retrieved OA via https://link.springer.com/content/pdf/10.1007/s11625-022-01217-9.pdf
R41FA552CF7AE,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R41FA552CF7AE_nassolo_2023.pdf,Retrieved OA via https://www.ajol.info/index.php/ahs/article/download/261328/246680
RFB1B72FD753E,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RFB1B72FD753E_karuga_2023.pdf,Retrieved OA via https://www.frontiersin.org/articles/10.3389/fpubh.2023.1175326/pdf?isPublishedV2=False
R56488964E5E9,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R56488964E5E9_hannah_2023.pdf,Retrieved OA via https://globalizationandhealth.biomedcentral.com/counter/pdf/10.1186/s12992-022-00894-6
RAADC767776C7,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RAADC767776C7_custódio_2023.pdf,Retrieved OA via https://revista.cade.gov.br/index.php/revistadedefesadaconcorrencia/article/download/1066/685
R54561E5AC278,not_retrievable,,No OA copy found via Unpaywall.
R8077376646C2,not_retrievable,,No OA copy found via Unpaywall.
RBFF9D3F5FAD2,not_retrievable,,Failed to download PDF from https://gh.bmj.com/content/bmjgh/8/1/e010850.full.pdf: HTTP Error 403: Forbidden
R6022ED0189EC,not_retrievable,,No OA copy found via Unpaywall.
R96D0E77D69DF,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/15/15/2756/pdf?version=1690699125: HTTP Error 403: Forbidden
RFCA100C715A7,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RFCA100C715A7_trimmer_2023.pdf,Retrieved OA via https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000071&type=printable
R97CEDDF99259,not_retrievable,,Failed to download PDF from https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/wat2.1651: HTTP Error 403: Forbidden
RF1537F0C1961,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RF1537F0C1961_victral_2023.pdf,Retrieved OA via https://pmc.ncbi.nlm.nih.gov/articles/PMC10043969/pdf/main.pdf
R01522DD103D0,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R01522DD103D0_shrestha_2023.pdf,Retrieved OA via https://www.dora.lib4ri.ch/eawag/dload/eawag:30083/PDF2/view
R26B827D73178,not_retrievable,,No OA copy found via Unpaywall.
R3133B6743186,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R3133B6743186_srivastwa_2023.pdf,Retrieved OA via https://ecoinsee.org/journal/ojs/index.php/ees/article/download/990/292
R3F296A947F3C,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R3F296A947F3C_evans_2023.pdf,Retrieved OA via https://hal.science/hal-04946560v1/document
RB0165DA1B47D,not_retrievable,,No OA copy found via Unpaywall.
RD67517CB43CE,not_retrievable,,No OA copy found via Unpaywall.
R238F15C4814B,not_retrievable,,No OA copy found via Unpaywall.
RCA6456CEF4AB,not_retrievable,,No OA copy found via Unpaywall.
RD58B0324ACD5,not_retrievable,,No OA copy found via Unpaywall.
R45CFDA2B4FDC,not_retrievable,,No OA copy found via Unpaywall.
R8496FBED591A,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R8496FBED591A_balasooriya_2023.pdf,Retrieved OA via OpenAlex extra thorough check
R4B1669E987E0,not_retrievable,,No OA copy found via Unpaywall.
R97E03B20C00D,not_retrievable,,No OA copy found via Unpaywall.
RBEC1E4523ED3,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RBEC1E4523ED3_bagnoli_2023.pdf,Retrieved OA via https://dipot.ulb.ac.be/dspace/bitstream/2013/335116/3/2021_JEPR_Postprint.pdf
RFA9C722C42BC,not_retrievable,,No OA copy found via Unpaywall.
RCDD2A6F242AA,not_retrievable,,No OA copy found via Unpaywall.
R653729F562BE,not_retrievable,,Failed to download PDF from https://www.tandfonline.com/doi/pdf/10.1080/23311886.2023.2208934?needAccess=true&role=button: HTTP Error 403: Forbidden
RE318E69A8CF5,not_retrievable,,No OA copy found via Unpaywall.
R326D0866796C,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R326D0866796C_bilalova_2023.pdf,Retrieved OA via OpenAlex extra thorough check
R1AA1C8DA926F,not_retrievable,,No OA copy found via Unpaywall.
RF5D1F190C33A,not_retrievable,,No OA copy found via Unpaywall.
R7AFAD77B57D7,not_retrievable,,No OA copy found via Unpaywall.
R0AFD77B3C677,not_retrievable,,Failed to download PDF from https://www.sciencedirect.com/science/article/pii/S1438463922001432/pdf: HTTP Error 403: Forbidden
RF37B79776186,not_retrievable,,No OA copy found via Unpaywall.
