record_id,full_text_status,full_text_location,notes
R9ABC6050547A,not_retrievable,,Failed to download PDF from https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2019WR025011: HTTP Error 403: Forbidden
R721DC414A085,not_retrievable,,No OA copy found via Unpaywall.
R5351735FF357,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R5351735FF357_cisneros_2019.pdf,Retrieved OA via https://www.ecologyandsociety.org/vol24/iss1/art29/ES-2018-10667.pdf
RDB8E7D7C3014,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RDB8E7D7C3014_sohns_2019.pdf,Retrieved OA via OpenAlex extra thorough check
RDC76C62702D0,not_retrievable,,Failed to download PDF from https://iwaponline.com/jwh/article-pdf/17/3/455/639141/jwh0170455.pdf: HTTP Error 403: Forbidden
RB4AB00799A56,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RB4AB00799A56_van_2019.pdf,Retrieved OA via https://www.dora.lib4ri.ch/eawag/dload/eawag:19630/PDF2/view
R6EA0A0277A0E,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/11/2/202/pdf?version=1549532488: HTTP Error 403: Forbidden
R2428752DF562,not_retrievable,,No OA copy found via Unpaywall.
RAE15E6363DF0,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RAE15E6363DF0_taing_2019.pdf,Retrieved OA via https://watersa.net/article/download/7533/9306
RD0DFF88DB422,not_retrievable,,No OA copy found via Unpaywall.
RAB0CE1247452,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2227-9717/7/4/184/pdf?version=1556184443: HTTP Error 403: Forbidden
RC18632EBDC98,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RC18632EBDC98_ortiz-gómez_2019.pdf,Retrieved OA via OpenAlex extra thorough check
R236175EC76E5,not_retrievable,,No OA copy found via Unpaywall.
R21BA3E19B4D9,not_retrievable,,Failed to download PDF from https://www.tandfonline.com/doi/pdf/10.1080/13549839.2019.1572728?needAccess=true: HTTP Error 403: Forbidden
R132A30EE97F5,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2071-1050/11/3/916/pdf?version=1549982222: HTTP Error 403: Forbidden
R812E3C486FA8,not_retrievable,,Failed to download PDF from https://gh.bmj.com/content/bmjgh/4/3/e001377.full.pdf: HTTP Error 403: Forbidden
RE5817EF78D59,not_retrievable,,No OA copy found via Unpaywall.
RACB833F0F26E,not_retrievable,,No OA copy found via Unpaywall.
RDC446634BCB1,not_retrievable,,No OA copy found via Unpaywall.
RCA5C1A9910CA,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/11/1/137/pdf?version=1547462639: HTTP Error 403: Forbidden
RBBCE6360BC06,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RBBCE6360BC06_sinharoy_2019.pdf,Retrieved OA via OpenAlex extra thorough check
R835937265185,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/11/5/1079/pdf?version=1558609415: HTTP Error 403: Forbidden
R363EC91C7699,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2071-1050/11/1/85/pdf?version=1545639467: HTTP Error 403: Forbidden
R0A22230BEAC5,not_retrievable,,No OA copy found via Unpaywall.
R6A8E5F1C16DC,not_retrievable,,Failed to download PDF from https://www.mdpi.com/1660-4601/16/16/2972/pdf?version=1566120307: HTTP Error 403: Forbidden
R25A96282EB25,not_retrievable,,No OA copy found via Unpaywall.
R33EC8B53721E,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/11/2/359/pdf?version=1550665055: HTTP Error 403: Forbidden
R0CF95E70945E,not_retrievable,,No OA copy found via Unpaywall.
REA69A46FD418,not_retrievable,,No OA copy found via Unpaywall.
R6727B5865609,not_retrievable,,No OA copy found via Unpaywall.
R2D7CBFF1D2B9,not_retrievable,,No OA copy found via Unpaywall.
R365803888D74,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/11/11/2425/pdf?version=1574259379: HTTP Error 403: Forbidden
RB5257A44EC80,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/11/5/936/pdf?version=1556872728: HTTP Error 403: Forbidden
R9E86C5C2D0CF,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R9E86C5C2D0CF_greene_2019.pdf,Retrieved OA via https://revistas.usal.es/index.php/0213-3563/article/download/azafea201921129157/21956
R1B918BF54680,not_retrievable,,No OA copy found via Unpaywall.
R9D4649E4A900,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R9D4649E4A900_garcía-rubio_2019.pdf,Retrieved OA via https://revistaselectronicas.ujaen.es/index.php/atma/article/download/4381/4387
REA580C9CB2CB,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\REA580C9CB2CB_olago_2019.pdf,Retrieved OA via https://link.springer.com/content/pdf/10.1007/s10040-018-1895-y.pdf
REEEE8B65B746,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\REEEE8B65B746_sow_2019.pdf,Retrieved OA via https://www.ajol.info/index.php/ijbcs/article/download/191041/180217
RD54062398124,not_retrievable,,No OA copy found via Unpaywall.
RC6AAD5AE6A06,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RC6AAD5AE6A06_rahmasary_2019.pdf,Retrieved OA via https://link.springer.com/content/pdf/10.1007/s00267-019-01137-y.pdf
RA0005AC70700,not_retrievable,,Failed to download PDF from https://gh.bmj.com/content/bmjgh/4/5/e001892.full.pdf: HTTP Error 403: Forbidden
R550AF41D1041,not_retrievable,,No OA copy found via Unpaywall.
R2ABF896EA8EB,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/11/2/308/pdf?version=1550907799: HTTP Error 403: Forbidden
R03C00C7DDAD7,not_retrievable,,No OA copy found via Unpaywall.
R6A6252240EBA,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R6A6252240EBA_rautanen_2019.pdf,Retrieved OA via OpenAlex extra thorough check
RA5E555B4E7F8,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/11/6/1282/pdf?version=1560956134: HTTP Error 403: Forbidden
R672E795D3241,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R672E795D3241_obeta_2019.pdf,Retrieved OA via https://doi.org/10.2478/jwld-2019-0033
RE9FD407645E2,not_retrievable,,No OA copy found via Unpaywall.
R90A7B7F95F14,not_retrievable,,No OA copy found via Unpaywall.
RAD1230DD5FD1,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RAD1230DD5FD1_de_2019.pdf,Retrieved OA via https://www.e-publicacoes.uerj.br/index.php/publicum/article/download/41924/31062
