record_id,full_text_status,full_text_location,notes
RB378AA833CAB,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RB378AA833CAB_acuña_2025.pdf,Retrieved OA via https://inz-min.online/index.php/im/article/download/1820/3491
R117C5DC21727,not_retrievable,,No OA copy found via Unpaywall.
R2E3192E1DA33,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R2E3192E1DA33_lázaro-salazar_2025.pdf,Retrieved OA via https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2025.1470636/pdf
RBEBE095D118E,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RBEBE095D118E_hacker_2025.pdf,Retrieved OA via https://iopscience.iop.org/article/10.1088/2634-4505/adce2c/pdf
R5912922172F1,not_retrievable,,No OA copy found via Unpaywall.
R0742BBE7042C,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R0742BBE7042C_jadhav_2025.pdf,Retrieved OA via https://papjournals.com/index.php/waterlines/article/download/36/23
R02E0076606AC,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R02E0076606AC_dwivedi_2025.pdf,Retrieved OA via OpenAlex extra thorough check
R086CC8C86468,not_retrievable,,No OA copy found via Unpaywall.
RAA945DD273DD,not_retrievable,,No OA copy found via Unpaywall.
R8D17337BEC6A,not_retrievable,,No OA copy found via Unpaywall.
R163C274FBA50,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R163C274FBA50_ködmön_2025.pdf,Retrieved OA via OpenAlex extra thorough check
R18119ADAAB3D,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2413-8851/9/11/480/pdf?version=1763452219: HTTP Error 403: Forbidden
RD226743CE2E4,not_retrievable,,No OA copy found via Unpaywall.
R9353D62C2B76,not_retrievable,,No OA copy found via Unpaywall.
R3B4E6A0D63A0,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R3B4E6A0D63A0_szekeres_2025.pdf,Retrieved OA via https://ojs.mtak.hu/index.php/JAEL/article/download/19468/16017
R23A9A454BF91,not_retrievable,,No OA copy found via Unpaywall.
RE0CF385853FE,not_retrievable,,No OA copy found via Unpaywall.
R773045C3EF0B,not_retrievable,,No OA copy found via Unpaywall.
R57DB9FB6D163,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R57DB9FB6D163_nyika_2025.pdf,Retrieved OA via https://doi.org/10.26480/wcm.02.2025.335.338
R83BE23E715F5,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R83BE23E715F5_khan_2025.pdf,Retrieved OA via OpenAlex extra thorough check
R03D388B03A8D,not_retrievable,,Failed to download PDF from https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/issj.12535: HTTP Error 403: Forbidden
RA481934771E8,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RA481934771E8_sakshi_2025.pdf,Retrieved OA via https://link.springer.com/content/pdf/10.1007/s44213-025-00046-7.pdf
RAFDF34F22D03,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RAFDF34F22D03_hyde-smith_2025.pdf,Retrieved OA via https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0339272&type=printable
R33EDCF0902FE,not_retrievable,,Failed to download PDF from https://pubs.rsc.org/en/content/articlepdf/2025/va/d5va00082c: HTTP Error 403: Forbidden
RC8E1C6959D2C,not_retrievable,,No OA copy found via Unpaywall.
R93164FD9F779,not_retrievable,,No OA copy found via Unpaywall.
RC8008BCADF20,not_retrievable,,Failed to download PDF from https://orca.cardiff.ac.uk/id/eprint/164225/1/Ghana%20infrastructure%20access%20-%20Andrews%2C%20Beynon%20and%20Baafi.pdf: HTTP Error 403: Forbidden
