record_id,full_text_status,full_text_location,notes
R7C16D234F08C,not_retrievable,,No OA copy found via Unpaywall.
R5D4687D7BDC5,not_retrievable,,No OA copy found via Unpaywall.
R364672C9B3D8,not_retrievable,,No OA copy found via Unpaywall.
R63EA69FC6367,not_retrievable,,No OA copy found via Unpaywall.
R0E3B58AEF079,not_retrievable,,No OA copy found via Unpaywall.
R813F684CFDA0,not_retrievable,,No OA copy found via Unpaywall.
RE8C4C6D64CCE,not_retrievable,,No OA copy found via Unpaywall.
RAEB53D610704,not_retrievable,,No OA copy found via Unpaywall.
R2A4FEC099A8E,not_retrievable,,No OA copy found via Unpaywall.
RE3714E74D5CA,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RE3714E74D5CA_ojo-akosile_2025.pdf,Retrieved OA via https://link.springer.com/content/pdf/10.1007/s44155-025-00306-1.pdf
R7A6343D72FE4,not_retrievable,,No OA copy found via Unpaywall.
R8D7E142CD6D4,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R8D7E142CD6D4_beker_2024.pdf,Retrieved OA via https://link.springer.com/content/pdf/10.1007/s10668-022-02901-7.pdf
R30C3C41FBED3,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R30C3C41FBED3_cecilia_2024.pdf,Retrieved OA via OpenAlex extra thorough check
RFAC4975783C2,not_retrievable,,Failed to download PDF from https://iwaponline.com/washdev/article-pdf/doi/10.2166/washdev.2024.201/1352109/washdev2024201.pdf: HTTP Error 403: Forbidden
RBB6F3EAC4B2C,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/16/14/1978/pdf?version=1721113987: HTTP Error 403: Forbidden
R6BE70C7596A6,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R6BE70C7596A6_mir_2024.pdf,Retrieved OA via OpenAlex extra thorough check
RA9D46FF2372C,not_retrievable,,No OA copy found via Unpaywall.
R19D862EB08B5,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R19D862EB08B5_seriki_2024.pdf,Retrieved OA via https://doi.org/10.15452/historica.2024.15.0009
R10949E2F3E33,not_retrievable,,No OA copy found via Unpaywall.
R4E8580BFF1F9,not_retrievable,,Failed to download PDF from https://www.tandfonline.com/doi/pdf/10.1080/17441692.2024.2369099?needAccess=true: HTTP Error 403: Forbidden
R5A0698F76B59,not_retrievable,,No OA copy found via Unpaywall.
RE31E262A4E81,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RE31E262A4E81_silva_2024.pdf,Retrieved OA via https://periodicos.ufpe.br/revistas/rbgfe/article/download/260537/46968
RFDE905C0DCDE,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RFDE905C0DCDE_alexander_2024.pdf,Retrieved OA via OpenAlex extra thorough check
R2223B69F1132,not_retrievable,,No OA copy found via Unpaywall.
R5EA38AEF752F,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R5EA38AEF752F_acharibasam_2024.pdf,Retrieved OA via OpenAlex extra thorough check
RAEA95650888A,not_retrievable,,No OA copy found via Unpaywall.
R677647C5F851,not_retrievable,,No OA copy found via Unpaywall.
R5CCAC2EBB5FE,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R5CCAC2EBB5FE_rodríguez-guerrero_2024.pdf,Retrieved OA via https://equityhealthj.biomedcentral.com/counter/pdf/10.1186/s12939-024-02112-8
RB54D6D9FB939,not_retrievable,,No OA copy found via Unpaywall.
RB1430377E12E,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RB1430377E12E_marhasova_2024.pdf,Retrieved OA via https://fkd.net.ua/index.php/fkd/article/download/4415/4172
R400A1592F961,not_retrievable,,No OA copy found via Unpaywall.
R9529ADF23E59,not_retrievable,,Failed to download PDF from https://iwaponline.com/jwh/article-pdf/doi/10.2166/wh.2024.144/1363184/jwh2024144.pdf: HTTP Error 403: Forbidden
RD59389822173,not_retrievable,,No OA copy found via Unpaywall.
