record_id,full_text_status,full_text_location,notes
R5A39CD56E8DE,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R5A39CD56E8DE_bisung_2021.pdf,Retrieved OA via OpenAlex extra thorough check
RAFE7B383AF05,not_retrievable,,No OA copy found via Unpaywall.
R798F6D592650,not_retrievable,,Failed to download PDF from https://ekorozwoj.pollub.pl/no32/23.Shekhar_et_al.pdf: HTTP Error 404: Not Found
R969A7CB232AD,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R969A7CB232AD_hargrove_2021.pdf,Retrieved OA via http://journals.librarypublishing.arizona.edu/jpe/article/id/2925/download/pdf/
R8F74892813E3,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2071-1050/13/16/9323/pdf?version=1629795131: HTTP Error 403: Forbidden
R928138B31379,not_retrievable,,Failed to download PDF from https://www.mdpi.com/1660-4601/18/24/13254/pdf?version=1639638059: HTTP Error 403: Forbidden
RC8A90C42BB5C,not_retrievable,,No OA copy found via Unpaywall.
R774BC8E6F153,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R774BC8E6F153_zziwa_2021.pdf,Retrieved OA via https://www.ajol.info/index.php/ijbcs/article/download/224210/211507
R93A5FB34B8B7,not_retrievable,,No OA copy found via Unpaywall.
RF3C4D16222DD,not_retrievable,,Failed to download PDF from https://setac.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ieam.4334: HTTP Error 403: Forbidden
R3BBB00534BD0,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R3BBB00534BD0_hoque_2021.pdf,Retrieved OA via https://iopscience.iop.org/article/10.1088/2515-7620/ac2458/pdf
R68BAAC4442C9,not_retrievable,,No OA copy found via Unpaywall.
R8228B92EF766,not_retrievable,,Failed to download PDF from https://www.sciencedirect.com/science/article/pii/S2667010021003152/pdf: HTTP Error 403: Forbidden
R56A962FA26B9,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R56A962FA26B9_byansi_2021.pdf,Retrieved OA via https://www.ajol.info/index.php/ijbcs/article/download/224212/211510
R582D32CAA4B0,not_retrievable,,No OA copy found via Unpaywall.
R444635EE6CD5,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R444635EE6CD5_faye_2021.pdf,Retrieved OA via http://www.doiserbia.nb.rs/ft.aspx?id=0350-35932102097F
RFCA60136D710,not_retrievable,,No OA copy found via Unpaywall.
RC062A42C92E7,not_retrievable,,Failed to download PDF from https://www.sciencedirect.com/science/article/pii/S0957178721001405/pdf: HTTP Error 403: Forbidden
RF0C862F5B309,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RF0C862F5B309_reghezza-zitt_2021.pdf,Retrieved OA via OpenAlex extra thorough check
R3BFAF175DBF1,not_retrievable,,Failed to download PDF from https://gh.bmj.com/content/bmjgh/6/5/e005030.full.pdf: HTTP Error 403: Forbidden
R938EE2BA8270,not_retrievable,,No OA copy found via Unpaywall.
R2BEEDB854704,not_retrievable,,Failed to download PDF from https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1468-2427.12899: HTTP Error 403: Forbidden
R6ABE0E28ADCB,not_retrievable,,No OA copy found via Unpaywall.
R81F081FED1A1,not_retrievable,,No OA copy found via Unpaywall.
R33D8BBB10D77,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R33D8BBB10D77_suminar_2021.pdf,Retrieved OA via https://iopscience.iop.org/article/10.1088/1755-1315/916/1/012002/pdf
R1EF0C58DFF30,not_retrievable,,No OA copy found via Unpaywall.
R46096F5F6F6C,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/13/6/787/pdf?version=1615656089: HTTP Error 403: Forbidden
RDEFC70029868,not_retrievable,,Failed to download PDF from https://journals.sagepub.com/doi/pdf/10.1177/2399654419865760: HTTP Error 403: Forbidden
RA79E8C444327,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RA79E8C444327_komalasari_2021.pdf,Retrieved OA via https://iopscience.iop.org/article/10.1088/1755-1315/896/1/012016/pdf
RF7BF9185B7E2,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RF7BF9185B7E2_dhungana_2021.pdf,Retrieved OA via https://www.iwmi.cgiar.org/Publications/IWMI_Research_Reports/PDF/pub179/rr179.pdf
RA27F3EF7337F,not_retrievable,,Failed to download PDF from https://ars.els-cdn.com/content/image/1-s2.0-S0048969720366663-ga1_lrg.jpg: HTTP Error 403: Forbidden
R71F4B6CD0DF4,not_retrievable,,No OA copy found via Unpaywall.
R566E192D76F6,not_retrievable,,No OA copy found via Unpaywall.
RAEF3C2FE0910,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RAEF3C2FE0910_egge_2021.pdf,Retrieved OA via https://journals.librarypublishing.arizona.edu/jpe/article/2366/galley/2522/download/
R2AB46424B9F1,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R2AB46424B9F1_djousse_2021.pdf,Retrieved OA via https://www.ajol.info/index.php/ijbcs/article/download/224220/211518
R0206140E81E4,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/13/20/2810/pdf?version=1634026535: HTTP Error 403: Forbidden
RF69CDD7A3484,not_retrievable,,No OA copy found via Unpaywall.
R649C5222FEA1,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R649C5222FEA1_miguel_2021.pdf,Retrieved OA via https://revistas.javeriana.edu.co/index.php/desarrolloRural/article/download/27005/27765
RA88CE2AB8E94,not_retrievable,,No OA copy found via Unpaywall.
R4D48C6031F04,not_retrievable,,No OA copy found via Unpaywall.
R16E7FC2F833D,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R16E7FC2F833D_french_2021.pdf,Retrieved OA via OpenAlex extra thorough check
RE36182751367,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RE36182751367_yulianto_2021.pdf,Retrieved OA via https://iopscience.iop.org/article/10.1088/1755-1315/933/1/012019/pdf
R4D207458780C,not_retrievable,,No OA copy found via Unpaywall.
RD647EE91E2BF,not_retrievable,,No OA copy found via Unpaywall.
R87405E7AEC7F,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R87405E7AEC7F_kumar_2021.pdf,Retrieved OA via https://www.frontiersin.org/articles/10.3389/frwa.2021.727368/pdf
RE081EB767D08,not_retrievable,,No OA copy found via Unpaywall.
R70028D9094A5,not_retrievable,,Failed to download PDF from https://iwaponline.com/washdev/article-pdf/11/1/51/876821/washdev0110051.pdf: HTTP Error 403: Forbidden
R67FE26C96329,not_retrievable,,No OA copy found via Unpaywall.
R437473ADF773,not_retrievable,,No OA copy found via Unpaywall.
R5571A513905A,not_retrievable,,No OA copy found via Unpaywall.
