record_id,full_text_status,full_text_location,notes
R0299C96CF472,not_retrievable,,No OA copy found via Unpaywall.
R4D781D5EB540,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R4D781D5EB540_mitlin_2013.pdf,Retrieved OA via OpenAlex extra thorough check
RBAF7A730DAE8,not_retrievable,,No OA copy found via Unpaywall.
R441EAF4DFFD2,not_retrievable,,No OA copy found via Unpaywall.
R1A33C22EDA73,not_retrievable,,Failed to download PDF from https://www.tandfonline.com/doi/pdf/10.1080/07011784.2013.780790?needAccess=true: HTTP Error 403: Forbidden
RB894AA51801F,not_retrievable,,No OA copy found via Unpaywall.
R70B810197AA2,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R70B810197AA2_walters_2012.pdf,Retrieved OA via https://ojs.lib.uwo.ca/index.php/iipj/article/download/7382/6026
R671DD297E327,not_retrievable,,No OA copy found via Unpaywall.
R59C5DC0EFA90,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R59C5DC0EFA90_laituri_2012.pdf,Retrieved OA via http://www.witpress.com/Secure/ejournals/papers/SDP070301f.pdf
R5207E9C3B055,not_retrievable,,No OA copy found via Unpaywall.
RE5DB6996E04E,not_retrievable,,Failed to download PDF from https://www.sciencedirect.com/science/article/pii/S1018363911000614/pdf: HTTP Error 403: Forbidden
RB45F57F659FC,not_retrievable,,Failed to download PDF from https://www.sciencedirect.com/science/article/pii/S1877705812012416/pdf: HTTP Error 403: Forbidden
RB25553369DCB,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RB25553369DCB_kacker_2012.pdf,Retrieved OA via OpenAlex extra thorough check
R8A823907105A,not_retrievable,,No OA copy found via Unpaywall.
RECD6E1F9163C,not_retrievable,,No OA copy found via Unpaywall.
RF464DBEDC353,not_retrievable,,No OA copy found via Unpaywall.
RABD874ECDC9D,not_retrievable,,No OA copy found via Unpaywall.
RF9BF2D97C3AD,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RF9BF2D97C3AD_moorthy_2012.pdf,Retrieved OA via http://thescipub.com/pdf/10.3844/ajassp.2012.24.31
R7EE9044E5204,not_retrievable,,No OA copy found via Unpaywall.
R110426752017,not_retrievable,,No OA copy found via Unpaywall.
R0F404B9CB634,not_retrievable,,No OA copy found via Unpaywall.
R98EE7A8CD53B,not_retrievable,,No OA copy found via Unpaywall.
R34FB4E74EB11,not_retrievable,,No OA copy found via Unpaywall.
RD49DE850A4CE,not_retrievable,,Failed to download PDF from https://journals.sagepub.com/doi/pdf/10.1177/0956247812456356: HTTP Error 403: Forbidden
R8BC4869D7A4E,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R8BC4869D7A4E_ioris_2012.pdf,Retrieved OA via OpenAlex extra thorough check
R08D3F4577102,not_retrievable,,No OA copy found via Unpaywall.
RB937F6B14510,not_retrievable,,No OA copy found via Unpaywall.
RD1829FC2C94A,not_retrievable,,Failed to download PDF from https://www.tandfonline.com/doi/pdf/10.3402/ehtj.v5i0.7269?needAccess=true: HTTP Error 403: Forbidden
REC9BE7729D00,not_retrievable,,No OA copy found via Unpaywall.
R4DC2A9DD9226,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2071-1050/4/11/2922/pdf?version=1424777049: HTTP Error 403: Forbidden
R653C938D77F9,not_retrievable,,No OA copy found via Unpaywall.
R658467768162,not_retrievable,,No OA copy found via Unpaywall.
RD039A852D35C,not_retrievable,,No OA copy found via Unpaywall.
RDAD1B5F3B10E,not_retrievable,,No OA copy found via Unpaywall.
R3E6A10BB691A,not_retrievable,,No OA copy found via Unpaywall.
R8DF8439BABC3,not_retrievable,,No OA copy found via Unpaywall.
R0DF9468FC154,not_retrievable,,No OA copy found via Unpaywall.
R86051205DAED,not_retrievable,,No OA copy found via Unpaywall.
RE4E5A4029D2D,not_retrievable,,No OA copy found via Unpaywall.
R8FA24A9DD2C8,not_retrievable,,No OA copy found via Unpaywall.
RF38DAB41F8F8,not_retrievable,,No OA copy found via Unpaywall.
R5A010875D9FB,not_retrievable,,No OA copy found via Unpaywall.
RF2B2F583825D,not_retrievable,,No OA copy found via Unpaywall.
R9E826C424890,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R9E826C424890_dondeynaz_2012.pdf,Retrieved OA via https://hess.copernicus.org/articles/16/3791/2012/hess-16-3791-2012.pdf
RE8EDE45DF049,not_retrievable,,No OA copy found via Unpaywall.
RC0750E198B8C,not_retrievable,,No OA copy found via Unpaywall.
R5F7CD74E0186,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R5F7CD74E0186_stoler_2012.pdf,Retrieved OA via OpenAlex extra thorough check
R58D1D52A0625,not_retrievable,,No OA copy found via Unpaywall.
R3A1EB80FA37D,not_retrievable,,No OA copy found via Unpaywall.
RAFD43FB2362E,not_retrievable,,No OA copy found via Unpaywall.
