title,authors,year,doi,url,database,search_id
Bureaucratic Hurdles Political Resistance and Public Service Access: Evidence from a Field Experiment in India,,,,https://www.researchgate.net/publication/349255506_Bureaucratic_Hurdles_Political_Resistance_and_Public_Service_Access_Evidence_from_a_Field_Experiment_in_India,WebSearch(general),SEARCH_014
Pesquisa Saneamento Basico em Areas Irregulares - Relatorio Brasil,,,,https://tratabrasil.org.br/wp-content/uploads/2022/09/relatorio-completo-areas-irregulares.pdf,WebSearch(general),SEARCH_016
Desafios do saneamento em SP e alternativas a privatizacao: por uma agenda de governanca ambiental,,,,https://www.iea.usp.br/pesquisa/projetos-institucionais/usp-cidades-globais/artigos-digitais/desafios-do-saneamento-em-sp-e-alternativas-a-privatizacao-por-uma-agenda-de-governanca-ambiental-frente-as-mudancas-climaticas,WebSearch(general),SEARCH_016
Divided infrastructure: legal exclusion and water inequality in an urban slum in Mumbai India,"Lubeck-Schricker, Patil-Deshmukh, Murthy, Chaubey, Boomkar, Shaikh, Shitole, Eliasziw, Subbaraman",2023,10.1177/09562478221121737,https://journals.sagepub.com/doi/10.1177/09562478221121737,EXEMPLAR_SOURCES,EXEMPLAR_ADD_2026-08-25
Getting on the grid: A field experiment on bottom-up political pressure and access to essential public services,"Gaikwad, Thomas",2026,10.1111/ajps.70068,https://onlinelibrary.wiley.com/doi/10.1111/ajps.70068,EXEMPLAR_SOURCES,EXEMPLAR_ADD_2026-08-25
A Meta-Analysis of Water Institutions and Their Performance: Implications for Water Resource Management,"Apio, Thiam, Dinar",2025,10.1007/s11269-024-04000-w,https://link.springer.com/article/10.1007/s11269-024-04000-w,EXEMPLAR_SOURCES,EXEMPLAR_ADD_2026-08-25
